BOROUGH,SITE_NUMBER,AD,ED
3,B0126,50,89
4,10287,23,39
4,Q0215,27,55
4,Q0064,23,62
1,M0248,70,87
3,11471,51,60
3,B0001,44,16
2,X0216,80,27
3,B0155,60,59
3,B0125,59,39
2,X0013,77,57
3,B0263,55,57
3,10857,47,54
4,11369,35,48
2,X0156,81,26
1,M0081,70,43
2,X0234,82,86
3,11249,44,38
3,10058,56,73
3,B0136,54,61
2,X0021,83,61
3,B0016,56,21
3,10964,54,14
2,X0153,83,50
5,10008,62,25
3,10931,53,48
1,10569,69,54
3,11447,55,76
5,S0058,61,4
4,10731,34,15
2,X0101,82,110
1,M0302,72,40
1,10993,70,68
3,B0106,45,23
1,10750,67,65
4,Q0200,35,3
4,Q0199,35,10
3,B0080,49,28
3,B0170,46,24
4,Q0117,26,69
3,B0261,46,19
3,B0253,48,30
3,B0317,42,12
5,S0045,62,70
4,10929,32,78
3,B0190,50,58
4,Q0009,39,5
3,B0301,48,35
1,M0224,76,74
4,Q0129,24,2
1,10611,65,91
1,11265,68,17
2,X0034,83,19
4,11157,37,59
4,11369,35,56
1,10222,66,11
1,M0231,67,15
1,M0216,69,93
3,10216,44,30
3,B0211,55,60
3,B0217,41,15
2,X0221,79,30
1,11191,75,89
4,Q0134,36,50
2,X0197,83,33
1,M0057,67,43
4,Q0096,33,30
4,Q0006,39,3
1,M0023,65,79
4,Q0112,36,42
1,M0265,66,50
4,10590,32,43
2,X0109,82,19
5,S0022,64,53
2,X0021,83,57
3,10784,49,7
3,B0103,50,81
4,Q0145,36,6
2,11151,83,2
2,X0210,80,37
4,11041,25,57
3,B0340,54,22
3,11170,45,19
4,Q0090,26,21
3,B0198,54,79
2,X0166,81,55
3,10678,59,48
4,Q0175,34,58
3,B0133,44,75
3,11410,51,52
3,10045,43,21
1,M0083,76,66
3,B0267,51,43
5,10636,61,29
1,10612,65,23
3,10964,53,45
3,B0098,55,101
2,X0021,83,64
4,10961,38,47
2,X0177,80,48
4,11041,40,29
2,X0055,79,77
3,10253,51,23
3,B0197,46,6
3,B0157,60,44
1,M0144,67,25
2,10359,86,7
4,Q0177,37,1
1,M0171,76,62
3,B0286,53,79
3,10437,42,70
2,X0009,85,33
2,X0177,78,40
3,B0110,44,6
3,11448,55,71
3,B0332,49,35
4,Q0202,26,43
4,Q0124,36,59
3,11150,42,2
4,Q0057,31,43
3,B0034,57,36
4,Q0248,25,10
3,B0190,50,57
4,Q0017,32,45
4,10220,30,13
4,Q0217,26,49
4,Q0119,24,16
3,B0387,44,31
1,M0082,71,29
3,B0014,59,63
2,11153,81,78
3,B0278,59,30
2,11581,81,52
4,Q0272,39,26
4,Q0225,28,52
1,M0171,76,54
3,B0226,54,30
4,10733,35,44
4,Q0225,28,45
2,X0167,87,79
2,11581,81,47
4,Q0234,28,36
3,B0339,52,74
2,X0234,82,83
3,B0135,55,18
2,X0157,79,31
3,10931,53,55
4,10135,27,75
3,B0387,44,87
4,Q0168,30,65
2,11151,83,7
2,X0132,80,60
3,B0258,57,51
1,10553,74,78
4,Q0084,32,63
4,11152,40,36
1,M0142,70,63
2,10212,83,69
4,Q0142,40,19
4,Q0124,36,60
1,M0135,69,78
3,10450,57,69
2,X0066,87,23
4,Q0090,26,20
2,X0219,82,71
1,10392,75,94
3,B0093,50,55
